body,name
"“Music doesn’t lie. If there is something to be changed in this world, then it can only happen through music.”",Jimi Hendrix
"“Music is a necessity. After food, air, water and warmth, music is the next necessity of life.”",Keith Richards
"“There should be laughter after pain, there should be sunlight after rain, these things have always been the same, so why worry now?”",Mark Knopfler
"“If you want to be a rock star or just be famous, then run down the street naked, you’ll make the news or something. But if you want music to be your livelihood, then play, play, play and play! And eventually you’ll get to where you want to be.”",Eddie Van Halen
“I believe every guitar player inherently has something unique about their playing. They just have to identify what makes them different and develop it.”,Jimmy Page
"“When all the original blues guys are gone, you start to realize that someone has to tend to the tradition. I recognize that I have some responsibility to keep the music alive, and it’s a pretty honorable position to be in.”",Eric Clapton
“I came from the last couple of years in a generation where we didn’t have a computer around so we didn’t waste as much time on the internet as we do now so I had large chuncks of time which to devote to doing something.”,John Mayer
"“When the train, it left the station, there was two lights on behind, Well, the blue light was my baby, and the red light was my mind.”",Robert Leroy Johnson
"“No second chances in the land of a thousand dances, the valley of ten million insanities.”",Ry Cooder
"“Most people are prisoners, thinking only about the future or living in the past. They are not in the present, and the present is where everything begins.”",Carlos Santana
"“You don’t just go to the studio and say, ‘I’m going to write a hit.’ It becomes a hit when people like your compositions.”",Chuck Berry
“I don’t understand why some people will only accept a guitar if it has an instantly recognizable guitar sound. Finding ways to use the same guitar people have been using for 50 years to make sounds that no one has heard before is truly what gets me off.”,Jeff Beck
“I wanted to create music that was so different that my mother could tell from anyone else.”,Les Paul 
"“I don’t even know if I can take the credit for writing ‘Cliffs of Dover’. It was just there for me one day, literally wrote in five minutes, kind of a gift from a higher place that all of us are eligible for. We just have to listen for it and be available to receive it.”",Eric Johnson 
"“Notes and chords have become my second language and, more often than not, that vocabulary expresses what I feel when language fails me.”",Slash 
“I’d think learning to play the guitar would be very confusing for sighted people.”,Doc Watson 
“Success is falling nine times and getting up ten times.”,Jon Bon Jovi 
“Just as Blues player can play 20 Blues songs in a row but find a way to make each one different. I always want to find different ways to do something”,Joe Satriani 
“Sometimes the nicest thing to do with a guitar is just look at it”,Thom Yorke 
“Lots of people who complained about us receiving the MBE received theirs for heroism in the war — for killing people. We received ours for entertaining other people. I’d say we deserve ours more.”,John Lennon 
"“Whenever I get down on my playing, I just bend a note, shake it and listen. What I hear sound so great it makes me realize that even a rut doesn’t suck.”",Dimebag Darrell 
"“I’m pretty basic as far as technique is concerned. I don’t use many gadgets, and I like the sound my guitar makes, anyway.”",Brian May 
“The beautiful thing about learning is nobody can take it away from you.” ,B.B. King 
"“Everyone has their own sound, and if you’re heard enough, folks will come to recognize it. Style however, is a different thing. Try to express your own ideas. It’s much more difficult to do, but the rewards are there if you’re good enough to pull it off”",Chet Atkins 
"“If you really love guitar, you’re going to spend every waking hour stroking the thing.”",Frank Zappa 
"“As long as you’re excited about what you’re playing, and as long as it comes from your heart, it’s going to be great.”",John Frusciante 
“I would advise you to keep your overhead down; avoid a major drug habit; play everyday and take it in front of other people. They need to hear it and you need them to hear it.”,James Taylor 
“My guitar is not a thing. It is an extension of myself. It is who I am.”,Joan Jett 
“The time I burned my guitar it was like a sacrifice. You sacrifice the things you love. I love my guitar”,Jimi Hendrix 
